City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Yining,CN,29.0361,114.5636,53.53,78,100,2.53,light rain
214,Saldanha,ZA,-33.0117,17.9442,64.4,88,100,18.41,light rain
215,Boralday,KZ,43.3578,76.8594,35.6,87,75,4.47,mist
216,Chernyakhovsk,RU,54.6335,21.8156,25.07,89,0,6.62,clear sky
217,Flin Flon,CA,54.7682,-101.865,24.8,42,20,5.75,few clouds
218,Sucua,EC,-2.4667,-78.1667,68.38,81,100,2.28,light rain
219,Yazoo City,US,32.8551,-90.4056,64.99,55,1,8.25,clear sky
220,Lata,PT,40.1629,-8.3327,51.01,84,74,1.52,broken clouds
221,Iralaya,HN,15.0,-83.2333,77.0,94,75,11.5,broken clouds
222,Lulea,SE,65.5842,22.1547,-4.0,84,16,1.14,few clouds
223,Kenai,US,60.5544,-151.2583,33.8,86,90,9.22,light snow
224,Shirvan,AZ,39.9509,48.8994,40.17,87,0,5.35,clear sky
225,Vardo,NO,70.3705,31.1107,10.4,67,0,14.97,clear sky
226,Tarusa,RU,54.7233,37.1767,-7.6,77,0,4.47,clear sky
227,Kafanchan,NG,9.5833,8.3,71.85,34,0,1.83,clear sky
228,Thunder Bay,CA,48.4001,-89.3168,42.01,70,90,10.36,overcast clouds
229,Antananarivo,MG,-18.9137,47.5361,64.4,88,40,3.44,scattered clouds
230,Ostrovnoy,RU,68.0531,39.5131,19.13,92,100,12.84,overcast clouds
231,Carbondale,US,37.7273,-89.2168,62.6,41,1,11.5,clear sky
232,Yenagoa,NG,4.9247,6.2642,78.01,90,99,4.5,overcast clouds
233,Husavik,IS,66.0449,-17.3389,32.0,74,90,18.41,snow
234,Lima,PE,-12.0432,-77.0282,75.99,78,0,5.75,clear sky
235,Pirovskoye,RU,57.6267,92.2658,14.49,93,100,11.36,overcast clouds
236,Maragogi,BR,-9.0122,-35.2225,79.05,84,18,9.55,few clouds
237,River Falls,US,44.8614,-92.6238,57.0,67,1,12.24,clear sky
238,Noumea,NC,-22.2763,166.4572,86.0,54,0,9.22,clear sky
239,La Rioja,ES,42.25,-2.5,37.0,86,0,4.61,clear sky
240,Salalah,OM,17.0151,54.0924,71.6,53,0,2.3,clear sky
241,Stephenville,US,32.2207,-98.2023,68.0,60,90,12.66,overcast clouds
